OR4F5	NM_001005484
IFITM10	NM_001170820
CTSD	NM_001909
SYT8	NM_138567
TNNI2	NM_001145841
LSP1	NM_001242932
TNNT3	NM_006757
MRPL23	NM_021134
IGF2	NM_001127598
INS-IGF2	NM_001042376
TH	NM_199293
ASCL2	NM_005170
C11orf21	NM_001142946
TSPAN32	NM_139022
CD81	NM_004356
TSSC4	NM_005706
TRPM5	NM_014555
KCNQ1	NM_000218
CDKN1C	NM_000076
SLC22A18AS	NM_007105
SLC22A18	NM_183233
PHLDA2	NM_003311
NAP1L4	NM_005969
CARS	NM_001014437
OSBPL5	NM_020896
MRGPRG	NM_001164377
MRGPRE	NM_001039165
ZNF195	NM_001130520
ART5	NM_053017
ART1	NM_004314
CHRNA10	NM_020402
NUP98	NM_016320
PGAP2	NM_014489
RHOG	NM_001665
STIM1	NM_003156
RRM1	NM_001033
OR52B4	NM_001005161
TRIM21	NM_003141
OR52K2	NM_001005172
OR52K1	NM_001005171
OR52M1	NM_001004137
C11orf40	NM_144663
OR52I2	NM_001005170
OR52I1	NM_001005169
TRIM68	NM_018073
OR51D1	NM_001004751
OR51E1	NM_152430
OR51E2	NM_030774
OR51F1	NM_001004752
OR52R1	NM_001005177
OR51F2	NM_001004753
OR51S1	NM_001004758
OR51T1	NM_001004759
OR51A7	NM_001004749
OR51G2	NM_001005238
OR51G1	NM_001005237
OR51A4	NM_001005329
OR51A2	NM_001004748
MMP26	NM_021801
OR51L1	NM_001004755
OR52J3	NM_001001916
OR52E2	NM_001005164
OR52A5	NM_001005160
OR52A1	NM_012375
OR51V1	NM_001004760
HBB	NM_000518
HBD	NM_000519
HBG1	NM_000559
HBE1	NM_005330
OR51B4	NM_033179
OR51B2	NM_033180
OR51B5	NM_001005567
OR51B6	NM_001004750
OR51M1	NM_001004756
OR51Q1	NM_001004757
OR51I1	NM_001005288
OR51I2	NM_001004754
OR52D1	NM_001005163
UBQLN3	NM_017481
UBQLNL	NM_145053
OR52H1	NM_001005289
OR52B6	NM_001005162
TRIM6-TRIM34	NM_001003819
TRIM5	NM_033034
TRIM22	NM_006074
OR56B1	NM_001005180
OR52N4	NM_001005175
OR52N5	NM_001001922
OR52N1	NM_001001913
OR52N2	NM_001005174
OR52E6	NM_001005167
OR52E8	NM_001005168
OR52E4	NM_001005165
OR56A3	NM_001003443
OR56A5	NM_001146033
OR52L1	NM_001005173
OR56A4	NM_001005179
OR56A1	NM_001001917
OR56B4	NM_001005181
OR52B2	NM_001004052
OR52W1	NM_001005178
C11orf42	NM_173525
FAM160A2	NM_032127
CNGA4	NM_001037329
CCKBR	NM_176875
PRKCDBP	NM_145040
SMPD1	NM_000543
APBB1	NM_145689
HPX	NM_000613
TRIM3	NM_001248006
ARFIP2	NM_001242854
FXC1	NM_012192
DNHD1	NM_144666
RRP8	NM_015324
ILK	NM_004517
TAF10	NM_006284
TPP1	NM_000391
DCHS1	NM_003737
MRPL17	NM_022061
OR2AG2	NM_001004490
OR2AG1	NM_001004489
OR6A2	NM_003696
OR10A5	NM_178168
OR10A2	NM_001004460
OR10A4	NM_207186
OR2D2	NM_003700
OR2D3	NM_001004684
ZNF215	NM_013250
ZNF214	NM_013249
NLRP14	NM_176822
RBMXL2	NM_014469
SYT9	NM_175733
OLFML1	NM_198474
PPFIBP2	NM_003621
CYB5R2	NM_016229
OVCH2	NM_198185
OR5P2	NM_153444
OR5P3	NM_153445
OR10A6	NM_001004461
OR10A3	NM_001003745
NLRP10	NM_176821
EIF3F	NM_003754
TUB	NM_003320
RIC3	NM_001206671
LMO1	NM_002315
STK33	NM_030906
TRIM66	NM_014818
RPL27A	NM_000990
ST5	NM_213618
AKIP1	NM_020642
C11orf16	NM_020643
ASCL3	NM_020646
TMEM9B	NM_020644
NRIP3	NM_020645
SCUBE2	NM_020974
DENND5A	NM_015213
TMEM41B	NM_015012
IPO7	NM_006391
ZNF143	NM_003442
WEE1	NM_003390
SWAP70	NM_015055
SBF2	NM_030962
ADM	NM_001124
AMPD3	NM_000480
MTRNR2L8	NM_001190702
RNF141	NM_016422
LYVE1	NM_006691
MRVI1	NM_001098579
CTR9	NM_014633
EIF4G2	NM_001418
ZBED5	NM_001143667
GALNTL4	NM_198516
USP47	NM_017944
DKK3	NM_015881
MICAL2	NM_014632
MICALCL	NM_032867
PARVA	NM_018222
TEAD1	NM_021961
RASSF10	NM_001080521
ARNTL	NM_001178
BTBD10	NM_032320
PTH	NM_000315
FAR1	NM_032228
SPON1	NM_006108
RRAS2	NM_012250
COPB1	NM_001144062
PSMA1	NM_002786
PDE3B	NM_000922
CYP2R1	NM_024514
CALCA	NM_001033952
CALCB	NM_000728
INSC	NM_001031853
SOX6	NM_001145819
C11orf58	NM_014267
PLEKHA7	NM_175058
RPS13	NM_001017
PIK3C2A	NM_002645
NUCB2	NM_005013
KCNJ11	NM_000525
ABCC8	NM_000352
USH1C	NM_153676
MYOD1	NM_002478
KCNC1	NM_001112741
SERGEF	NM_012139
TPH1	NM_004179
SAAL1	NM_138421
MRGPRX3	NM_054031
MRGPRX4	NM_054032
SAA2-SAA4	NM_001199744
SAA1	NM_199161
HPS5	NM_181507
GTF2H1	NM_005316
LDHA	NM_001165414
LDHC	NM_002301
LDHAL6A	NM_001144071
TSG101	NM_006292
UEVLD	NM_001040697
SPTY2D1	NM_194285
TMEM86A	NM_153347
IGSF22	NM_173588
PTPN5	NM_032781
MRGPRX1	NM_147199
MRGPRX2	NM_054030
ZDHHC13	NM_019028
CSRP3	NM_003476
E2F8	NM_024680
NAV2	NM_001244963
DBX1	NM_001029865
HTATIP2	NM_001098520
PRMT3	NM_005788
SLC6A5	NM_004211
NELL1	NM_006157
ANO5	NM_213599
SLC17A6	NM_020346
FANCF	NM_022725
GAS2	NM_005256
SVIP	NM_148893
LOC100500938	NM_001195637
LUZP2	NM_001009909
ANO3	NM_031418
MUC15	NM_001135091
SLC5A12	NM_178498
FIBIN	NM_203371
BBOX1	NM_003986
CCDC34	NM_030771
LGR4	NM_018490
LIN7C	NM_018362
BDNF	NM_001143810
KIF18A	NM_031217
METTL15	NM_001113528
KCNA4	NM_002233
FSHB	NM_001018080
MPPED2	NM_001584
DCDC5	NM_020869
DCDC1	NM_181807
DNAJC24	NM_181706
IMMP1L	NM_144981
ELP4	NM_019040
PAX6	NM_001127612
RCN1	NM_002901
WT1	NM_024426
EIF3M	NM_006360
CCDC73	NM_001008391
PRRG4	NM_024081
QSER1	NM_001076786
DEPDC7	NM_001077242
TCP11L1	NM_001145541
CSTF3	NM_001326
HIPK3	NM_005734
C11orf91	NM_001166692
CD59	NM_001127223
FBXO3	NM_012175
LMO2	NM_005574
CAPRIN1	NM_005898
NAT10	NM_024662
ABTB2	NM_145804
CAT	NM_001752
ELF5	NM_001422
EHF	NM_001206616
APIP	NM_015957
PDHX	NM_003477
CD44	NM_000610
SLC1A2	NM_004171
PAMR1	NM_001001991
FJX1	NM_014344
TRIM44	NM_017583
LDLRAD3	NM_174902
COMMD9	NM_014186
PRR5L	NM_024841
TRAF6	NM_004620
RAG1	NM_000448
RAG2	NM_000536
C11orf74	NM_138787
LRRC4C	NM_020929
API5	NM_001142930
TTC17	NM_018259
HSD17B12	NM_016142
ALKBH3	NM_139178
C11orf96	NM_001145033
ACCSL	NM_001031854
ACCS	NM_001127219
EXT2	NM_000401
ALX4	NM_021926
CD82	NM_002231
TSPAN18	NM_130783
TP53I11	NM_006034
SYT13	NM_020826
CHST1	NM_003654
SLC35C1	NM_001145266
CRY2	NM_021117
MAPK8IP1	NM_005456
C11orf94	NM_001080446
PEX16	NM_057174
GYLTL1B	NM_152312
PHF21A	NM_001101802
CREB3L1	NM_052854
DGKZ	NM_001105540
MDK	NM_001012334
CHRM4	NM_000741
AMBRA1	NM_017749
HARBI1	NM_173811
ATG13	NM_001205119
ARHGAP1	NM_004308
ZNF408	NM_024741
F2	NM_000506
CKAP5	NM_001008938
LRP4	NM_002334
C11orf49	NM_001003677
ARFGAP2	NM_032389
PACSIN3	NM_016223
DDB2	NM_000107
ACP2	NM_001610
NR1H3	NM_005693
MADD	NM_003682
MYBPC3	NM_000256
SPI1	NM_001080547
SLC39A13	NM_001128225
PSMC3	NM_002804
RAPSN	NM_005055
CELF1	NM_001025596
PTPMT1	NM_175732
KBTBD4	NM_018095
NDUFS3	NM_004551
FAM180B	NM_001164379
C1QTNF4	NM_031909
MTCH2	NM_014342
AGBL2	NM_024783
FNBP4	NM_015308
NUP160	NM_015231
PTPRJ	NM_002843
OR4B1	NM_001005470
OR4X2	NM_001004727
OR4X1	NM_001004726
OR4S1	NM_001004725
OR4C3	NM_001004702
OR4C45	NM_001005513
OR4A47	NM_001005512
TRIM64C	NM_001206631
FOLH1	NM_004476
OR4C13	NM_001001955
OR4C12	NM_001005270
OR4A5	NM_001005272
OR4C46	NM_001004703
TRIM48	NM_024114
OR4A16	NM_001005274
OR4A15	NM_001005275
OR4C15	NM_001001920
OR4C16	NM_001004701
OR4C11	NM_001004700
OR4P4	NM_001004124
OR4S2	NM_001004059
OR4C6	NM_001004704
OR5D13	NM_001001967
OR5D14	NM_001004735
OR5L1	NM_001004738
OR5D18	NM_001001952
OR5L2	NM_001004739
OR5D16	NM_001005496
OR5W2	NM_001001960
OR5I1	NM_006637
OR10AG1	NM_001005491
OR5F1	NM_003697
OR5AS1	NM_001001921
OR8I2	NM_001003750
OR8H2	NM_001005200
OR8H3	NM_001005201
OR8J3	NM_001004064
OR8K5	NM_001004058
OR5J2	NM_001005492
OR5T2	NM_001004746
OR5T3	NM_001004747
OR5T1	NM_001004745
OR8H1	NM_001005199
OR8K3	NM_001005202
OR8K1	NM_001002907
OR8J1	NM_001005205
OR8U8	NM_001013356
OR5R1	NM_001004744
OR5M9	NM_001004743
OR5M3	NM_001004742
OR5M8	NM_001005282
OR5M11	NM_001005245
OR5M10	NM_001004741
OR5M1	NM_001004740
OR5AP2	NM_001002925
OR5AR1	NM_001004730
OR9G9	NM_001013358
OR9G4	NM_001005284
OR5AK2	NM_001005323
LRRC55	NM_001005210
APLNR	NM_005161
TNKS1BP1	NM_033396
SSRP1	NM_003146
P2RX3	NM_002559
PRG3	NM_006093
SLC43A3	NM_017611
RTN4RL2	NM_178570
SLC43A1	NM_001198810
TIMM10	NM_012456
SMTNL1	NM_001105565
UBE2L6	NM_004223
SERPING1	NM_001032295
YPEL4	NM_145008
CLP1	NM_006831
ZDHHC5	NM_015457
MED19	NM_153450
TMX2	NM_015959
C11orf31	NM_170746
BTBD18	NM_001145101
CTNND1	NM_001085458
OR9Q1	NM_001005212
OR6Q1	NM_001005186
OR9I1	NM_001005211
OR9Q2	NM_001005283
OR1S2	NM_001004459
OR1S1	NM_001004458
OR10Q1	NM_001004471
OR10W1	NM_207374
OR5B17	NM_001005489
OR5B3	NM_001005469
OR5B2	NM_001005566
OR5B12	NM_001004733
OR5B21	NM_001005218
LPXN	NM_004811
ZFP91	NM_053023
CNTF	NM_000614
GLYAT	NM_201648
GLYATL2	NM_145016
GLYATL1	NM_080661
FAM111B	NM_198947
FAM111A	NM_022074
DTX4	NM_015177
MPEG1	NM_001039396
OR5AN1	NM_001004729
OR5A2	NM_001001954
OR5A1	NM_001004728
OR4D6	NM_001004708
OR4D10	NM_001004705
OR4D11	NM_001004706
OR4D9	NM_001004711
OSBP	NM_002556
PATL1	NM_152716
OR10V1	NM_001005324
STX3	NM_004177
MRPL16	NM_017840
GIF	NM_005142
TCN1	NM_001062
PLAC1L	NM_173801
MS4A3	NM_006138
MS4A2	NM_000139
MS4A6A	NM_001247999
MS4A4A	NM_148975
MS4A6E	NM_139249
MS4A7	NM_021201
MS4A14	NM_032597
MS4A5	NM_023945
MS4A1	NM_021950
MS4A12	NM_017716
MS4A13	NM_001012417
MS4A8B	NM_031457
MS4A15	NM_001098835
MS4A10	NM_206893
CCDC86	NM_024098
PTGDR2	NM_004778
ZP1	NM_207341
PRPF19	NM_014502
TMEM109	NM_024092
TMEM132A	NM_017870
SLC15A3	NM_016582
CD6	NM_006725
CD5	NM_014207
VPS37C	NM_017966
PGA3	NM_001079807
PGA4	NM_001079808
PGA5	NM_014224
VWCE	NM_152718
DDB1	NM_001923
DAK	NM_015533
CYBASC3	NM_001161452
TMEM138	NM_016464
TMEM216	NM_001173991
CPSF7	NM_024811
SDHAF2	NM_017841
PPP1R32	NM_145017
LRRC10B	NM_001145077
SYT7	NM_001252065
DAGLA	NM_006133
C11orf9	NM_001127392
C11orf10	NM_014206
FEN1	NM_004111
FADS1	NM_013402
FADS2	NM_004265
FADS3	NM_021727
RAB3IL1	NM_013401
BEST1	NM_004183
FTH1	NM_002032
INCENP	NM_001040694
SCGB1D1	NM_006552
SCGB2A1	NM_002407
SCGB1D2	NM_006551
SCGB2A2	NM_002411
SCGB1D4	NM_206998
ASRGL1	NM_001083926
SCGB1A1	NM_003357
AHNAK	NM_001620
EEF1G	NM_001404
TUT1	NM_022830
MTA2	NM_004739
EML3	NM_153265
ROM1	NM_000327
B3GAT3	NM_012200
GANAB	NM_198335
INTS5	NM_030628
C11orf48	NM_024099
METTL12	NM_001043229
C11orf83	NM_001085372
UBXN1	NM_015853
LRRN4CL	NM_203422
BSCL2	NM_001122955
GNG3	NM_012202
HNRNPUL2	NM_001079559
TTC9C	NM_173810
ZBTB3	NM_024784
POLR2G	NM_002696
TAF6L	NM_006473
TMEM179B	NM_199337
TMEM223	NM_001080501
NXF1	NM_006362
STX5	NM_003164
WDR74	NM_018093
SLC3A2	NM_002394
CHRM1	NM_000738
SLC22A6	NM_153276
SLC22A8	NM_004254
SLC22A24	NM_001136506
SLC22A25	NM_199352
SLC22A10	NM_001039752
SLC22A9	NM_080866
HRASLS5	NM_001146729
LGALS12	NM_033101
RARRES3	NM_004585
HRASLS2	NM_017878
PLA2G16	NM_001128203
ATL3	NM_015459
RTN3	NM_201428
C11orf95	NM_001144936
C11orf84	NM_138471
MARK2	NM_001039469
RCOR2	NM_173587
NAA40	NM_024771
COX8A	NM_004074
OTUB1	NM_017670
MACROD1	NM_014067
FLRT1	NM_013280
STIP1	NM_006819
FERMT3	NM_031471
TRPT1	NM_001160389
NUDT22	NM_001128612
DNAJC4	NM_005528
VEGFB	NM_003377
FKBP2	NM_004470
PPP1R14B	NM_138689
PLCB3	NM_000932
BAD	NM_032989
GPR137	NM_001170726
KCNK4	NM_033310
C11orf20	NM_001039496
ESRRA	NM_004451
TRMT112	NM_016404
PRDX5	NM_012094
CCDC88B	NM_032251
RPS6KA4	NM_003942
SLC22A11	NM_018484
SLC22A12	NM_144585
NRXN2	NM_015080
RASGRP2	NM_001098670
PYGM	NM_005609
SF1	NM_001178030
MAP4K2	NM_004579
MEN1	NM_000244
CDC42BPG	NM_017525
EHD1	NM_006795
ATG2A	NM_015104
PPP2R5B	NM_006244
GPHA2	NM_130769
C11orf85	NM_001037225
BATF2	NM_138456
ARL2	NM_001667
SNX15	NM_147777
SAC3D1	NM_013299
NAALADL1	NM_005468
CDCA5	NM_080668
ZFPL1	NM_006782
LOC100130348	NM_001242631
TM7SF2	NM_003273
ZNHIT2	NM_014205
FAU	NM_001997
MRPL49	NM_004927
SYVN1	NM_172230
SPDYC	NM_001008778
CAPN1	NM_001198868
SLC22A20	NM_001004326
POLA2	NM_002689
CDC42EP2	NM_006779
DPF2	NM_006268
TIGD3	NM_145719
SLC25A45	NM_182556
FRMD8	NM_031904
SCYL1	NM_020680
LTBP3	NM_001130144
SSSCA1	NM_006396
FAM89B	NM_001098785
EHBP1L1	NM_001099409
KCNK7	NM_033347
MAP3K11	NM_002419
PCNXL3	NM_032223
SIPA1	NM_006747
RELA	NM_021975
KAT5	NM_182710
RNASEH2C	NM_032193
OVOL1	NM_004561
SNX32	NM_152760
CFL1	NM_005507
MUS81	NM_025128
EFEMP2	NM_016938
CTSW	NM_001335
FIBP	NM_198897
CCDC85B	NM_006848
FOSL1	NM_005438
C11orf68	NM_001135635
DRAP1	NM_006442
TSGA10IP	NM_152762
SART1	NM_005146
EIF1AD	NM_001242485
BANF1	NM_001143985
CST6	NM_001323
CATSPER1	NM_053054
GAL3ST3	NM_033036
SF3B2	NM_006842
PACS1	NM_018026
KLC2	NM_022822
RAB1B	NM_030981
CNIH2	NM_182553
YIF1A	NM_020470
TMEM151A	NM_153266
CD248	NM_020404
RIN1	NM_004292
BRMS1	NM_001024957
B3GNT1	NM_006876
SLC29A2	NM_001532
NPAS4	NM_178864
MRPL11	NM_016050
PELI3	NM_145065
DPP3	NM_130443
BBS1	NM_024649
ZDHHC24	NM_207340
CTSF	NM_003793
CCDC87	NM_018219
CCS	NM_005125
RBM14	NM_006328
RBM4B	NM_031492
SPTBN2	NM_006946
C11orf80	NM_024650
RCE1	NM_005133
PC	NM_022172
LRFN4	NM_024036
C11orf86	NM_001136485
SYT12	NM_177963
RHOD	NM_014578
KDM2A	NM_012308
ADRBK1	NM_001619
ANKRD13D	NM_207354
SSH3	NM_017857
POLD4	NM_021173
CLCF1	NM_001166212
RAD9A	NM_004584
PPP1CA	NM_002708
TBC1D10C	NM_198517
CARNS1	NM_001166222
RPS6KB2	NM_003952
PTPRCAP	NM_005608
CORO1B	NM_020441
GPR152	NM_206997
CABP4	NM_145200
TMEM134	NM_025124
AIP	NM_003977
PITPNM1	NM_004910
CDK2AP2	NM_005851
CABP2	NM_016366
GSTP1	NM_000852
NDUFV1	NM_007103
NUDT8	NM_001243750
TBX10	NM_005995
ACY3	NM_080658
ALDH3B2	NM_001031615
UNC93B1	NM_030930
ALDH3B1	NM_001030010
NDUFS8	NM_002496
TCIRG1	NM_006019
CHKA	NM_001277
SUV420H1	NM_017635
C11orf24	NM_022338
LRP5	NM_002335
PPP6R3	NM_001164160
GAL	NM_015973
MTL5	NM_004923
CPT1A	NM_001876
MRPL21	NM_181514
IGHMBP2	NM_002180
MRGPRD	NM_198923
MRGPRF	NM_145015
TPCN2	NM_139075
MYEOV	NM_138768
CCND1	NM_053056
ORAOV1	NM_153451
FGF19	NM_005117
FGF4	NM_002007
FGF3	NM_005247
ANO1	NM_018043
FADD	NM_003824
PPFIA1	NM_003626
CTTN	NM_001184740
SHANK2	NM_012309
DHCR7	NM_001360
NADSYN1	NM_018161
KRTAP5-7	NM_001012503
KRTAP5-8	NM_021046
KRTAP5-9	NM_005553
KRTAP5-10	NM_001012710
KRTAP5-11	NM_001005405
FAM86C1	NM_018172
DEFB108B	NM_001002035
LOC100129216	NM_001242853
RNF121	NM_018320
IL18BP	NM_001039660
NUMA1	NM_006185
LRTOMT	NM_145309
LAMTOR1	NM_017907
FOLR3	NM_000804
FOLR1	NM_016725
FOLR2	NM_001113536
INPPL1	NM_001567
PHOX2A	NM_005169
CLPB	NM_030813
PDE2A	NM_002599
ARAP1	NM_001040118
STARD10	NM_006645
ATG16L2	NM_033388
FCHSD2	NM_014824
P2RY2	NM_002564
P2RY6	NM_004154
ARHGEF17	NM_014786
RELT	NM_152222
FAM168A	NM_015159
PLEKHB1	NM_001130034
RAB6A	NM_002869
MRPL48	NM_016055
PAAF1	NM_025155
DNAJB13	NM_153614
UCP2	NM_003355
UCP3	NM_003356
C2CD3	NM_015531
PPME1	NM_016147
P4HA3	NM_182904
PGM2L1	NM_173582
KCNE3	NM_005472
LIPT2	NM_001144869
POLD3	NM_006591
CHRDL2	NM_015424
RNF169	NM_001098638
XRRA1	NM_182969
SPCS2	NM_014752
NEU3	NM_006656
OR2AT4	NM_001005285
SLCO2B1	NM_007256
ARRB1	NM_004041
RPS3	NM_001005
KLHL35	NM_001039548
GDPD5	NM_030792
SERPINH1	NM_001235
MAP6	NM_033063
MOGAT2	NM_025098
DGAT2	NM_032564
UVRAG	NM_003369
WNT11	NM_004626
PRKRIR	NM_004705
C11orf30	NM_020193
LRRC32	NM_005512
TSKU	NM_015516
ACER3	NM_018367
B3GNT6	NM_138706
CAPN5	NM_004055
OMP	NM_006189
MYO7A	NM_000260
GDPD4	NM_182833
PAK1	NM_002576
AQP11	NM_173039
CLNS1A	NM_001293
RSF1	NM_016578
INTS4	NM_033547
KCTD14	NM_023930
NDUFC2-KCTD14	NM_001203261
THRSP	NM_003251
ALG8	NM_024079
KCTD21	NM_001029859
USP35	NM_020798
GAB2	NM_080491
NARS2	NM_024678
FAM181B	NM_175885
PRCP	NM_005040
C11orf82	NM_145018
RAB30	NM_014488
PCF11	NM_015885
ANKRD42	NM_182603
CCDC90B	NM_021825
DLG2	NM_001142699
TMEM126B	NM_018480
TMEM126A	NM_032273
CREBZF	NM_001039618
CCDC89	NM_152723
SYTL2	NM_206927
CCDC83	NM_173556
PICALM	NM_007166
EED	NM_003797
C11orf73	NM_016401
CCDC81	NM_001156474
ME3	NM_001014811
PRSS23	NM_007173
FZD4	NM_012193
TMEM135	NM_022918
RAB38	NM_022337
CTSC	NM_001814
GRM5	NM_001143831
TYR	NM_000372
NOX4	NM_016931
FOLH1B	NM_153696
TRIM77P	NM_001146162
TRIM49	NM_020358
TRIM64B	NM_001164397
TRIM49L1	NM_001105522
TRIM64	NM_001136486
UBTFL1	NM_001143975
NAALAD2	NM_005467
CHORDC1	NM_012124
FAT3	NM_001008781
MTNR1B	NM_005959
SLC36A4	NM_152313
CCDC67	NM_181645
C11orf75	NM_020179
KIAA1731	NM_033395
TAF1D	NM_024116
C11orf54	NM_014039
MED17	NM_004268
VSTM5	NM_001144871
HEPHL1	NM_001098672
PANX1	NM_015368
FOLR4	NM_001199206
GPR83	NM_016540
MRE11A	NM_005591
ANKRD49	NM_017704
LOC643037	NM_001190462
FUT4	NM_002033
PIWIL4	NM_152431
AMOTL1	NM_130847
CWC15	NM_016403
KDM4D	NM_018039
SRSF8	NM_032102
ENDOD1	NM_015036
SESN3	NM_144665
FAM76B	NM_144664
CEP57	NM_014679
MTMR2	NM_016156
MAML2	NM_032427
CCDC82	NM_024725
JRKL	NM_003772
CNTN5	NM_001243270
ARHGAP42	NM_152432
TMEM133	NM_032021
PGR	NM_000926
TRPC6	NM_004621
ANGPTL5	NM_178127
KIAA1377	NM_020802
C11orf70	NM_032930
YAP1	NM_001130145
BIRC3	NM_182962
BIRC2	NM_001166
TMEM123	NM_052932
MMP7	NM_002423
MMP20	NM_004771
MMP27	NM_022122
MMP8	NM_002424
MMP10	NM_002425
MMP1	NM_002421
MMP3	NM_002422
MMP12	NM_002426
MMP13	NM_002427
DCUN1D5	NM_032299
DYNC2H1	NM_001080463
PDGFD	NM_025208
DDI1	NM_001001711
CASP12	NM_001191016
CASP4	NM_001225
CASP5	NM_001136112
CASP1	NM_033292
CARD18	NM_021571
GRIA4	NM_000829
KBTBD3	NM_152433
AASDHPPT	NM_015423
GUCY1A2	NM_000855
CWF19L2	NM_152434
ALKBH8	NM_138775
ELMOD1	NM_018712
SLN	NM_003063
SLC35F2	NM_017515
RAB39A	NM_017516
CUL5	NM_003478
ACAT1	NM_000019
NPAT	NM_002519
ATM	NM_000051
C11orf65	NM_152587
KDELC2	NM_153705
EXPH5	NM_015065
DDX10	NM_004398
C11orf87	NM_207645
ZC3H12C	NM_033390
RDX	NM_002906
FDX1	NM_004109
ARHGAP20	NM_020809
C11orf53	NM_198498
C11orf93	NM_001136105
POU2AF1	NM_006235
BTG4	NM_017589
C11orf88	NM_207430
LAYN	NM_178834
SIK2	NM_015191
PPP2R1B	NM_181699
ALG9	NM_001077690
FDXACB1	NM_138378
C11orf1	NM_022761
CRYAB	NM_001885
HSPB2	NM_001541
C11orf52	NM_080659
DIXDC1	NM_033425
DLAT	NM_001931
PIH1D2	NM_138789
C11orf57	NM_001082969
TIMM8B	NM_012459
SDHD	NM_003002
IL18	NM_001562
TEX12	NM_031275
BCO2	NM_031938
PTS	NM_000317
C11orf34	NM_001145024
NCAM1	NM_181351
TTC12	NM_017868
ANKK1	NM_178510
DRD2	NM_000795
TMPRSS5	NM_030770
ZW10	NM_004724
CLDN25	NM_001101389
USP28	NM_020886
HTR3B	NM_006028
HTR3A	NM_000869
ZBTB16	NM_001018011
NNMT	NM_006169
C11orf71	NM_019021
RBM7	NM_016090
REXO2	NM_015523
CADM1	NM_014333
BUD13	NM_032725
ZNF259	NM_003904
APOA5	NM_001166598
APOA4	NM_000482
APOC3	NM_000040
APOA1	NM_000039
SIK3	NM_025164
PAFAH1B2	NM_002572
SIDT2	NM_001040455
TAGLN	NM_003186
PCSK7	NM_004716
RNF214	NM_207343
BACE1	NM_012104
CEP164	NM_014956
DSCAML1	NM_020693
FXYD6-FXYD2	NM_001204268
TMPRSS13	NM_001077263
IL10RA	NM_001558
TMPRSS4	NM_019894
SCN4B	NM_174934
SCN2B	NM_004588
AMICA1	NM_001098526
MPZL3	NM_198275
MPZL2	NM_005797
CD3E	NM_000733
CD3D	NM_000732
CD3G	NM_000073
UBE4A	NM_004788
ATP5L	NM_006476
MLL	NM_001197104
TTC36	NM_001080441
TMEM25	NM_032780
IFT46	NM_020153
ARCN1	NM_001655
PHLDB1	NM_001144758
TREH	NM_007180
DDX6	NM_004397
CXCR5	NM_001716
BCL9L	NM_182557
UPK2	NM_006760
FOXR1	NM_181721
CCDC84	NM_198489
RPS25	NM_001028
TRAPPC4	NM_016146
SLC37A4	NM_001164279
HYOU1	NM_001130991
VPS11	NM_021729
HMBS	NM_000190
H2AFX	NM_002105
DPAGT1	NM_001382
C2CD2L	NM_014807
HINFP	NM_198971
ABCG4	NM_022169
NLRX1	NM_024618
PDZD3	NM_001168468
CCDC153	NM_001145018
CBL	NM_005188
MCAM	NM_006500
RNF26	NM_032015
C1QTNF5	NM_015645
USP2	NM_004205
THY1	NM_006288
PVRL1	NM_002855
TRIM29	NM_012101
OAF	NM_178507
POU2F3	NM_001244682
TMEM136	NM_001198671
ARHGEF12	NM_015313
GRIK4	NM_014619
TBCEL	NM_152715
TECTA	NM_005422
SC5DL	NM_006918
SORL1	NM_003105
BLID	NM_001001786
UBASH3B	NM_032873
CRTAM	NM_019604
C11orf63	NM_024806
BSX	NM_001098169
HSPA8	NM_006597
CLMP	NM_024769
GRAMD1B	NM_020716
SCN3B	NM_018400
ZNF202	NM_003455
OR6X1	NM_001005188
OR6M1	NM_001005325
TMEM225	NM_001013743
OR8D4	NM_001005197
OR4D5	NM_001001965
OR6T1	NM_001005187
OR10S1	NM_001004474
OR10G4	NM_001004462
OR10G9	NM_001001953
OR10G8	NM_001004464
OR10G7	NM_001004463
VWA5A	NM_014622
OR8G2	NM_001007249
OR8G1	NM_001002905
OR8D1	NM_001002917
OR8D2	NM_001002918
OR8B2	NM_001005468
OR8B3	NM_001005467
OR8B4	NM_001005196
OR8B8	NM_012378
OR8B12	NM_001005195
OR8A1	NM_001005194
PANX3	NM_052959
TBRG1	NM_032811
SIAE	NM_170601
SPA17	NM_017425
NRGN	NM_001126181
VSIG2	NM_014312
ESAM	NM_138961
ROBO3	NM_022370
ROBO4	NM_019055
HEPN1	NM_001037558
HEPACAM	NM_152722
CCDC15	NM_025004
SLC37A2	NM_198277
TMEM218	NM_001080546
PKNOX2	NM_022062
FEZ1	NM_005103
EI24	NM_001007277
STT3A	NM_152713
CHEK1	NM_001274
ACRV1	NM_001612
PATE1	NM_138294
PATE2	NM_212555
PATE3	NM_001129883
PATE4	NM_001144874
HYLS1	NM_145014
PUS3	NM_031307
DDX25	NM_013264
CDON	NM_001243597
RPUSD4	NM_032795
FAM118B	NM_024556
SRPR	NM_003139
FOXRED1	NM_017547
TIRAP	NM_148910
DCPS	NM_014026
ST3GAL4	NM_001254757
KIRREL3	NM_032531
ETS1	NM_001143820
FLI1	NM_002017
KCNJ1	NM_000220
KCNJ5	NM_000890
C11orf45	NM_145013
TP53AIP1	NM_001195194
ARHGAP32	NM_001142685
BARX2	NM_003658
TMEM45B	NM_138788
NFRKB	NM_006165
PRDM10	NM_020228
